상권_코드_명_x,엑스좌표_값,와이좌표_값,서비스_업종_코드_명,분기당_매출_금액,점포수
고척동성당,126.85765315556124,37.50819734076437,자동차수리,495718202,7
고척동성당,126.85765315556124,37.50819734076437,스포츠클럽,430659223,4
고척동성당,126.85765315556124,37.50819734076437,골프연습장,36000000,3
고척동성당,126.85765315556124,37.50819734076437,당구장,87000000,7
고척동성당,126.85765315556124,37.50819734076437,한의원,363385080,5
고척동성당,126.85765315556124,37.50819734076437,치과의원,1681591626,8
고척동성당,126.85765315556124,37.50819734076437,일반의원,1452010883,8
고척동성당,126.85765315556124,37.50819734076437,스포츠 강습,261171455,8
고척동성당,126.85765315556124,37.50819734076437,예술학원,196583998,15
고척동성당,126.85765315556124,37.50819734076437,외국어학원,5680963,10
고척동성당,126.85765315556124,37.50819734076437,일반교습학원,588766561,17
고척동성당,126.85765315556124,37.50819734076437,커피-음료,56790467,12
고척동성당,126.85765315556124,37.50819734076437,호프-간이주점,46919226,10
고척동성당,126.85765315556124,37.50819734076437,분식전문점,224330041,13
고척동성당,126.85765315556124,37.50819734076437,치킨전문점,50124180,9
고척동성당,126.85765315556124,37.50819734076437,제과점,268135177,6
고척동성당,126.85765315556124,37.50819734076437,일식음식점,16383414,*
고척동성당,126.85765315556124,37.50819734076437,중식음식점,120533624,7
고척동성당,126.85765315556124,37.50819734076437,한식음식점,1768928242,44
개봉초등학교,126.8567916321588,37.49129358627132,전자상거래업,31961,48
개봉초등학교,126.8567916321588,37.49129358627132,조명용품,535144074,8
개봉초등학교,126.8567916321588,37.49129358627132,인테리어,579689255,9
개봉초등학교,126.8567916321588,37.49129358627132,가구,8310078,3
개봉초등학교,126.8567916321588,37.49129358627132,섬유제품,3019435,4
개봉초등학교,126.8567916321588,37.49129358627132,자전거 및 기타운송장비,159282427,*
개봉초등학교,126.8567916321588,37.49129358627132,화장품,21528046,13
개봉초등학교,126.8567916321588,37.49129358627132,문구,14080774,5
개봉초등학교,126.8567916321588,37.49129358627132,서적,36604378,*
개봉초등학교,126.8567916321588,37.49129358627132,의약품,1666374387,16
개봉초등학교,126.8567916321588,37.49129358627132,안경,128843690,5
개봉초등학교,126.8567916321588,37.49129358627132,신발,87488747,3
개봉초등학교,126.8567916321588,37.49129358627132,일반의류,208112512,30
개봉초등학교,126.8567916321588,37.49129358627132,반찬가게,1470000000,6
개봉초등학교,126.8567916321588,37.49129358627132,청과상,113398870,7
개봉초등학교,126.8567916321588,37.49129358627132,수산물판매,100727165,5
개봉초등학교,126.8567916321588,37.49129358627132,육류판매,519928885,8
개봉초등학교,126.8567916321588,37.49129358627132,편의점,1110412410,10
개봉초등학교,126.8567916321588,37.49129358627132,슈퍼마켓,1131620888,19
개봉초등학교,126.8567916321588,37.49129358627132,노래방,293361506,10
개봉초등학교,126.8567916321588,37.49129358627132,가전제품수리,55829294,5
개봉초등학교,126.8567916321588,37.49129358627132,세탁소,16621937,10
개봉초등학교,126.8567916321588,37.49129358627132,피부관리실,40849874,15
개봉초등학교,126.8567916321588,37.49129358627132,네일숍,129470,12
개봉초등학교,126.8567916321588,37.49129358627132,미용실,621659906,50
개봉초등학교,126.8567916321588,37.49129358627132,자동차미용,364928,*
개봉초등학교,126.8567916321588,37.49129358627132,자동차수리,386216580,3
개봉초등학교,126.8567916321588,37.49129358627132,스포츠클럽,84446202,4
개봉초등학교,126.8567916321588,37.49129358627132,PC방,284633350,3
개봉초등학교,126.8567916321588,37.49129358627132,골프연습장,28221223,4
개봉초등학교,126.8567916321588,37.49129358627132,당구장,58600204,3
개봉초등학교,126.8567916321588,37.49129358627132,한의원,586465077,6
개봉초등학교,126.8567916321588,37.49129358627132,치과의원,2787989388,13
개봉초등학교,126.8567916321588,37.49129358627132,일반의원,1548739633,17
개봉초등학교,126.8567916321588,37.49129358627132,스포츠 강습,95246107,7
개봉초등학교,126.8567916321588,37.49129358627132,예술학원,400144433,19
개봉초등학교,126.8567916321588,37.49129358627132,외국어학원,298742859,19
개봉초등학교,126.8567916321588,37.49129358627132,일반교습학원,668515631,36
개봉초등학교,126.8567916321588,37.49129358627132,커피-음료,348960811,27
